Date,SPY,UPDOWN,MONTH
43469,252.39,3.349576184,
43472,254.38,0.7884623,
43473,256.77,0.939539272,
43474,257.97,0.467344316,
43475,258.88,0.352754196,
43476,258.98,0.038627936,
43479,257.4,-0.610085721,
43480,260.35,1.146076146,
43481,260.98,0.241981947,
43482,262.96,0.758678826,
43483,266.46,1.331000913,
43487,262.86,-1.351047061,
43488,263.41,0.209236856,
43489,263.55,0.053149083,
43490,265.78,0.846139253,
43493,263.76,-0.76002709,
43494,263.41,-0.132696391,
43495,267.58,1.583083406,
43496,269.93,0.878242021,
43497,270.06,0.048160634,2
43500,271.96,0.70354736,
43501,273.1,0.419179291,
43502,272.74,-0.131819846,
43503,270.14,-0.953288847,
43504,270.47,0.122158881,
43507,270.62,0.055459016,
43508,274.1,1.285935999,
43509,274.99,0.324699015,
43510,274.38,-0.221826248,
43511,277.37,1.089729572,
43515,277.85,0.173054043,
43516,278.41,0.201547598,
43517,277.42,-0.355590676,
43518,279.14,0.619998558,
43521,279.52,0.136132407,
43522,279.32,-0.071551231,
43523,279.2,-0.042961478,
43524,278.68,-0.186246418,
43525,280.42,0.62437204,3
43528,279.4,-0.363740104,
43529,279.02,-0.136005727,
43530,277.33,-0.605691348,
43531,275.01,-0.836548516,
43532,274.46,-0.199992728,
43535,278.44,1.450120236,
43536,279.49,0.377100991,
43537,281.34,0.661919926,
43538,281.16,-0.063979527,
43539,281.31,0.053350405,
43542,282.33,0.362589314,
43543,282.4,0.024793681,
43544,281.55,-0.300991501,
43545,284.73,1.129461907,
43546,279.25,-1.924630352,
43549,279.04,-0.075201432,
43550,281.12,0.745412844,
43551,279.65,-0.522908367,
43552,280.71,0.379045235,
43553,282.48,0.630543978,
43556,285.83,1.185924667,4
43557,285.97,0.048980163,
43558,286.42,0.157359164,
43559,287.18,0.265344599,
43560,288.57,0.484016993,
43563,288.79,0.076238001,
43564,287.31,-0.512483119,
43565,288.29,0.341094985,
43566,288.21,-0.027749835,
43567,290.16,0.676589986,
43570,289.97,-0.065481114,
43571,290.16,0.06552402,
43572,289.45,-0.244692583,
43573,290.02,0.196925203,
43577,290.27,0.086200952,
43578,292.88,0.899162848,
43579,292.23,-0.221933898,
43580,292.05,-0.061595319,
43581,293.41,0.465673686,
43584,293.87,0.156777206,
43585,294.02,0.051042978,
43586,291.81,-0.751649548,5
43587,291.18,-0.215893904,
43588,294.03,0.978776015,
43591,292.82,-0.411522634,
43592,287.93,-1.669967898,
43593,287.53,-0.138922655,
43594,286.66,-0.302577122,
43595,288.1,0.502337264,
43598,280.86,-2.513016314,
43599,283.4,0.904365164,
43600,285.06,0.585744531,
43601,287.7,0.926120817,
43602,285.84,-0.646506778,
43605,283.95,-0.661209068,
43606,286.51,0.901567177,
43607,285.63,-0.307144602,
43608,282.14,-1.221860449,
43609,282.78,0.22683774,
43613,280.15,-0.93005163,
43614,278.27,-0.67106907,
43615,279.03,0.273116038,
43616,275.27,-1.347525356,
43619,274.57,-0.254295782,6
43620,280.53,2.170666861,
43621,282.96,0.866217517,
43622,284.8,0.650268589,
43623,287.65,1.000702247,
43626,288.97,0.458891013,
43627,288.9,-0.024223968,
43628,288.39,-0.176531672,
43629,289.58,0.412635667,
43630,289.26,-0.110504869,
43633,289.37,0.038028072,
43634,292.4,1.047102326,
43635,293.06,0.225718194,
43636,295.86,0.955435747,
43637,294,-0.628675725,
43640,293.64,-0.12244898,
43641,290.76,-0.980792808,
43642,290.47,-0.099738616,
43643,291.5,0.354597721,
43644,293,0.51457976,
43647,295.66,0.907849829,7
43648,296.43,0.260434283,
43649,298.8,0.799514219,
43651,298.46,-0.113788487,
43654,296.82,-0.549487368,
43655,297.19,0.124654673,
43656,298.61,0.477808809,
43657,299.31,0.234419477,
43658,300.65,0.447696368,
43661,300.75,0.033261267,
43662,299.71,-0.345802161,
43663,297.74,-0.657302059,
43664,298.83,0.366091221,
43665,297.17,-0.555499782,
43668,297.9,0.245650638,
43669,300.03,0.715005035,
43670,301.44,0.469953005,
43671,300,-0.477707006,
43672,302.01,0.67,
43675,301.46,-0.182113175,
43676,300.72,-0.245472036,
43677,297.43,-1.094040968,
43678,294.84,-0.870793128,8
43679,292.62,-0.752950753,
43682,283.82,-3.007313239,
43683,287.8,1.402297231,
43684,287.97,0.059068798,
43685,293.62,1.962009932,
43686,291.62,-0.68115251,
43689,288.07,-1.217337631,
43690,292.55,1.555177561,
43691,283.9,-2.956759528,
43692,284.65,0.264177527,
43693,288.85,1.475496223,
43696,292.33,1.204777566,
43697,290.09,-0.766257312,
43698,292.45,0.813540625,
43699,292.36,-0.030774491,
43700,284.85,-2.568750855,
43703,288,1.105845182,
43704,286.87,-0.392361111,
43705,288.89,0.704151706,
43706,292.58,1.27730278,
43707,292.45,-0.044432292,
43711,290.74,-0.584715336,9
43712,294.04,1.135034739,
43713,297.82,1.285539382,
43714,298.05,0.077227856,
43717,298.2,0.050327126,
43718,298.13,-0.023474178,
43719,300.25,0.711099185,
43720,301.29,0.346378018,
43721,301.09,-0.066381227,
43724,300.16,-0.308877744,
43725,300.92,0.253198294,
43726,301.1,0.059816563,
43727,301.08,-0.006642312,
43728,298.28,-0.929985386,
43731,298.21,-0.023467883,
43732,295.87,-0.784681936,
43733,297.62,0.591475986,
43734,297,-0.208319333,
43735,295.4,-0.538720539,
43738,296.77,0.463777928,
43739,293.24,-1.18947333,10
43740,288.06,-1.76647115,
43741,290.42,0.819273762,
43742,294.35,1.353212589,
43745,293.08,-0.431459147,
43746,288.53,-1.552477139,
43747,291.27,0.949641285,
43748,293.24,0.676348405,
43749,296.28,1.036693493,
43752,295.95,-0.111381126,
43753,298.88,0.9900321,
43754,298.4,-0.160599572,
43755,299.28,0.294906166,
43756,297.97,-0.437717188,
43759,299.99,0.677920596,
43760,299.01,-0.326677556,
43761,299.88,0.290960169,
