Date,DOLLAR
44438,92.650002
44439,92.629997
44440,92.449997
44441,92.230003
44442,92.040001
44444,
44446,92.519997
44447,92.650002
44448,92.480003
44449,92.580002
44451,
44452,92.620003
44453,92.650002
44454,92.489998
44455,92.860001
44456,93.199997
44458,
44459,93.239998
44460,93.199997
44461,93.459999
44462,93.099998
44463,93.330002
44465,
44466,93.379997
44467,93.769997
44468,94.339996
44469,94.25
44470,94.040001
44472,
44473,93.809998
44474,93.980003
44475,94.269997
44476,94.220001
44477,94.07
44479,
44480,94.32
44481,94.519997
44482,94.080002
44483,93.959999
44484,93.940002
44486,
44487,93.949997
44488,93.790001
44489,93.559998
44490,93.769997
44491,93.610001
44493,
44494,93.809998
44495,93.949997
44496,93.860001
44497,93.349998
44498,94.120003
44500,
44501,93.879997
44502,94.089996
44503,93.860001
44504,94.349998
44505,94.32
44507,
44508,94.050003
44509,93.959999
44510,94.849998
44511,95.18
44512,95.129997
44514,
44515,95.410004
44516,95.919998
44517,95.830002
44518,95.540001
44519,96.07
44521,
44522,96.5
44523,96.489998
44524,96.839996
44525,
44526,96.089996
44528,
44529,96.339996
44530,95.989998
44531,96.050003
44532,96.129997
44533,96.120003
44535,
44536,96.290001
44537,96.370003
44538,95.889999
44539,96.269997
44540,96.050003
44542,
44543,96.32
44544,96.57
44545,96.510002
44546,96.040001
44547,96.57
44549,
44550,96.550003
44551,96.489998
44552,96.080002
44553,96.019997
44556,
44557,96.089996
44558,96.199997
44559,95.93
44560,95.970001
44561,95.99
